Vol|Route|PageTitle|SEO_Title|H1|Eyebrow|Sub|PrimaryCTA|SecondaryCTA|Sections|ComponentTags|HeroInteractive|StatStripNote|FAQ_Count|Related
vol1|/platform/always-on|Always-On Connectivity|Always-On Secure Access / InstaSafe|none|none|none|none|none|Plain answer — What is Always-On?;Why it matters / benefits|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: what it is, benefits, best fit, OS support)|ZTNA · Device Binding · Domain Joining
vol1|/platform/domain-joining|Domain Joining|Remote Domain Joining / InstaSafe|none|none|none|none|none|Plain answer — What is domain joining, remotely?;Capabilities|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: can you join remotely, how, AD exposure, AD vs LDAP)|IAM · Always-On · Device Posture
vol1|/platform/contextual-access|Contextual Access|Contextual Access Control / InstaSafe|none|none|none|none|none|Plain answer — What is contextual access?;The five context dimensions;Concrete wins (from old-site benefits, sharpened)|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: what it is, vs plain RBAC, user experience, stacking)|Geofencing · Trust Engine · IAM · Device Posture
vol1|/platform/clientless-access|Clientless / Agentless Access|Clientless Remote Access / InstaSafe|none|none|none|none|none|Plain answer — What is clientless access?;Who it's for;Features:;Scope:|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: what it is, hybrid ecosystems, benefits, which apps)|ZTAA · Secure Browser · Third-Party Access · BYOD
vol1|/platform/geofencing|Geofencing|Geofencing Access Control / InstaSafe|none|none|none|none|none|Plain answer — What is geofencing?;How it composes:;Hero interactive — Drag-the-Pin|none|Drag-the-Pin (spec from blueprint: map with policy circle; pin inside = granted with console log, outside = denied with reason)|none|0 (prose FAQ list, no literal Q: lines — 3 topics: accuracy/VPN-masking honesty, granularity, legitimate travel)|Contextual Access · Trust Engine · Compliance solution
vol1|/platform/behavioural-authentication|Behavioural Authentication|Behavioural Authentication / InstaSafe|none|none|none|none|none|Plain answer — What is behavioural authentication?;Honest scope:;What feeds it: / What it triggers:|none|none|none|0 (no FAQs block present on this page)|Trust Engine · Contextual Access · MFA (continuous facial as the strongest companion)
vol1|/platform/trust-engine|The Trust Engine (deep-dive)|The InstaSafe Trust Engine|none|none|none|none|none|Long-form content (this is the page where depth is the point):;The inputs.;The policy grammar — 21 combinations.;The triggers — 12 types.;The responses — 4 auto-actions.;The record — 202 event types.;Closing frame:|A2 canonical block|none (Hero described as "the canonical A2 block, full-bleed, with the live console component as the hero visual" — not a named Hero-interactive block)|none|0 (no FAQs block present on this page)|every platform page links here; this is the hub.
vol1|/platform/integrations|Integrations & Ecosystem|Integrations / InstaSafe|none|none|none|none|none|Sections:|none|none|none|0 (no FAQs block; no Related: line either)|none
vol2|/solutions/vpn-alternative|VPN Alternative|VPN Alternative / Zero Trust VPN Replacement / InstaSafe|Your VPN was built for a world where the office was the perimeter.|VPN ALTERNATIVE|That world is gone. Replace network-level trust with per-session, per-app verification — deployed in days, migrated in stages.|Book a Demo|Compare VPN vs ZTNA ↓|Stat strip;Plain answer — Why is everyone replacing VPNs?;The comparison (C20 full table);Migration confidence (the real objection, answered);Privacy First (the differentiator vs cloud-SASE replacements);What you can retire / consolidate;Alternatives landscape (educational, honest — from old-site FAQ, upgraded);Three outcomes|C20 full table|none|[SOURCE NEEDED ×3 — VPN incident rate · VPN CVE exploitation · ZTNA adoption driver]|10|ZTNA · Privacy First · Pricing · Secure Remote Access · What is Zero Trust
vol2|/solutions/secure-remote-access|Secure Remote Access|Secure Remote Access / InstaSafe|Work happens everywhere. Policy should too.|SECURE REMOTE ACCESS|Employees at home, engineers in the field, vendors on their own laptops — one access model that verifies each of them the same way.|Book a Demo|none|Plain answer — the problem restated;The access matrix (signature content — quick-scan for experts);Use cases (from old site, expanded);Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: rebranded VPN, personal devices, offline/poor connectivity, what admins see)|VPN Alternative · Third-Party · BYOD · ZTAA
vol2|/solutions/third-party-access|Third-Party & Vendor Access|Third-Party & Vendor Access / InstaSafe|Give vendors a door, not the keys.|THIRD-PARTY ACCESS|Browser-based access to exactly the apps in scope. Nothing installed on their devices. Every session recorded. One click ends it all.|Book a Demo|none|Plain answer — the third-party problem;The InstaSafe pattern;Worked scenarios;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 5 topics: do vendors install anything, unmanaged-device risk, can vendors see our network, liability evidence, speed of revocation)|ZTAA · Clientless · Endpoint Controls · BFSI/Manufacturing industry pages
vol2|/solutions/byod|BYOD Security|BYOD Security Without MDM / InstaSafe|Their device. Your rules. No MDM standoff.|BYOD|Corporate access from personal devices — governed at the session, not by seizing the phone.|Book a Demo|none|Plain answer — the BYOD dilemma;The control stack for BYOD;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: is data safe, employee privacy, phone stolen, MDM coexistence)|Clientless · Secure Browser · Endpoint Controls · Device Posture
vol2|/solutions/secure-cloud-access|Secure Cloud & Multi-Cloud Access|Secure Cloud Application Access / InstaSafe|Your apps moved to the cloud. Did your access control?|SECURE CLOUD ACCESS|One identity, one policy engine, one audit trail — across data centre, multi-cloud, and SaaS.|Book a Demo|none|Plain answer;What unifies;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: multi-cloud support, SaaS agent requirement, shadow SaaS, latency)|ZTAA · SSO · Integrations · Privacy First
vol2|/solutions/devops-security|DevOps Security|DevOps Security / Zero Trust for Dev Teams / InstaSafe|Secure the pipeline without slowing the pipeline.|DEVOPS SECURITY|SSH, repos, CI/CD, ticketing, staging — least-privilege access that developers don't feel and attackers can't find.|Book a Demo|none|Plain answer;Coverage;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 4 topics: why DevOps access needs securing, key IT considerations for contractor devs, how InstaSafe helps, ZTNA vs ZTAA for dev teams)|ZTAA · Database Access · Privileged Access · Endpoint Controls
vol2|/solutions/secure-voip|Secure VoIP Access|Secure VoIP Access / InstaSafe|Voice is traffic too. Secure it without strangling it.|SECURE VOIP|Remote VoIP that doesn't backhaul, doesn't jitter, and doesn't route your calls through anyone else's infrastructure.|Book a Demo|none|Plain answer;Old-site content preserved & sharpened:;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: why not VPN for VoIP, what gets protected, BPO/contact-centre fit)|ZTNA · BPO industry · Privacy First
vol2|/solutions/hybrid-work|Hybrid & Work-From-Home|Hybrid Work Security / InstaSafe|The office is a place again. It stopped being a perimeter.|HYBRID WORK|Same user, same laptop, Tuesday at HQ and Wednesday at home — same verification, same policy, same experience.|Book a Demo|none|Plain answer;What hybrid actually requires (checklist content);Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: is office traffic also verified, do office users suffer friction, what changed vs 2020 WFH setup)|VPN Alternative · BYOD · Always-On · Contextual Access
vol2|/solutions/privileged-access|Privileged Access|Privileged Access Controls / InstaSafe|The accounts that can break everything deserve more than a stronger password.|PRIVILEGED ACCESS|Admin sessions recorded, step-up gated, time-boxed, and invisible from the internet.|Book a Demo|none|Plain answer;The InstaSafe privileged pattern;Honest scope:;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: is this PAM, shared root accounts, break-glass)|ZTAA · MFA (continuous facial) · Trust Engine · Endpoint Controls
vol2|/solutions/compliance|Compliance & Regulatory|Compliance-Driven Access Control / InstaSafe|Auditors don't want promises. They want logs.|COMPLIANCE|Access control that generates its own evidence — 202 event types, 11 reports, session replay, and architecture aligned to NIST SP 800-207.|Book a Demo|Visit the Trust Center →|Plain answer;Framework mapping (summary — full mappings live in Trust Center);Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: does using InstaSafe make us compliant, India data residency, evidence formats)|Trust Center · Privacy First · Industry pages (BFSI/NBFC/Insurance)
vol2|/solutions/mergers-acquisitions|M&A Access Integration|M&A IT Integration Access / InstaSafe|Day-one access without day-one network merger.|MERGERS & ACQUISITIONS|Give both sides the applications they need across company lines — while the actual network integration takes the year it takes.|Book a Demo|none|Plain answer;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: identity handling, due-diligence phase, unwinding)|ZTAA · Third-Party Access · IAM
vol2|/solutions/legacy-apps|Legacy Application Access|Secure Legacy App Access / InstaSafe|The app that runs the business predates the security it needs.|LEGACY APPLICATIONS|MFA, device checks, and modern access control for systems that can't be modified — enforcement in front, not code changes inside.|Book a Demo|none|Plain answer;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: app changes required, which legacy patterns fit, performance overhead)|ZTNA · ZTAA · Manufacturing/Energy industry pages
vol2|/solutions/database-access|Secure Database Access|Secure Database Access / InstaSafe|The most sensitive systems have the most shared passwords.|DATABASE ACCESS|Identity-bound, posture-gated, fully logged database sessions — the connection-string spreadsheet retires.|Book a Demo|none|Plain answer;Engine support — always stated exactly:;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: how it differs from DB-native users, tool compatibility, production change needed)|ZTAA · Privileged Access · DevOps Security
vol2|/solutions/vdi-alternative|VDI Alternative|VDI Alternative / InstaSafe|You didn't want virtual desktops. You wanted controlled access.|VDI ALTERNATIVE|If VDI's job in your company is secure access to apps and desktops, the portal does that job without the farm.|Book a Demo|none|Plain answer — an honest page;Where full VDI remains right, InstaSafe still helps;Three outcomes:|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: when NOT to replace VDI, user experience difference, data containment parity)|ZTAA · Third-Party Access · BYOD · IT/ITES industry page
vol3|/industries/banking|Banking & Financial Services|Zero Trust for Banking & Financial Services / InstaSafe|The regulator assumes breach. Your access model should too.|BANKING & FINANCIAL SERVICES|RBI's cyber security framework, vendor-oversight clauses, and audit calendars — answered with access control that generates its own evidence.|Book a Demo|Talk to a BFSI Specialist|Regulatory strip;The sector's access problem (plain answer);Where InstaSafe lands in a bank;Spec highlights for BFSI;Three outcomes|none|none|none|4|Third-Party Access · Privileged Access · Compliance · Privacy First
vol3|/industries/nbfc|NBFCs|Zero Trust for NBFCs / InstaSafe|Bank-grade expectations. NBFC-sized team.|NBFC|The RBI framework doesn't scale down for headcount. Your access stack can scale down for you — one platform instead of five tools.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: smallest sensible deployment size, shared devices at branches/partners, outsourced-IT oversight)|Compliance · Third-Party Access · BYOD · Pricing
vol3|/industries/fintech|Fintech|Zero Trust for Fintech / InstaSafe|Ship fast. Just don't ship your attack surface.|FINTECH|Zero Trust that developers don't feel — repos, pipelines, staging, and production behind identity instead of behind hope.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: will devs revolt, where to start pre-compliance-team, does this help bank-partner onboarding)|DevOps Security · Database Access · Compliance · Pricing
vol3|/industries/insurance|Insurance|Zero Trust for Insurance / InstaSafe|Your distribution network is your attack surface.|INSURANCE|Agents, brokers, surveyors, TPAs — thousands of external users touching policyholder data. Govern the session, not just the login.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: thousands of agents onboarding effort, seasonal surges, agent devices we'll never manage)|BYOD · Third-Party Access · Compliance · Clientless
vol3|/industries/it-ites|IT / ITES|Zero Trust for IT Services & ITES / InstaSafe|Every client audit asks the same question: who can touch our environment?|IT / ITES|Project-scoped access, session evidence, and clean separation between client environments — the answer that wins the audit and the renewal.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: client requires ODC-equivalent controls remotely, engineers on multiple projects, client-owned VPNs we must still use)|Endpoint Controls · Third-Party (reverse-perspective) · Geofencing · Hybrid Work
vol3|/industries/bpo|BPO / KPO / Contact Centres|Zero Trust for BPO & Contact Centres / InstaSafe|The floor went home. The controls have to follow.|BPO / CONTACT CENTRES|WFH seats with the containment clients demand — voice-friendly, watermarked, attributed, and provable.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: agent personal devices, client insists on floor-only, dialer latency)|Secure VoIP · BYOD · Endpoint Controls · IT/ITES
vol3|/industries/healthcare-pharma|Healthcare & Pharma|Zero Trust for Healthcare & Pharma / InstaSafe|The most sensitive data. The most fragmented access.|HEALTHCARE & PHARMA|Clinicians, researchers, CROs, device vendors, TPAs — least-privilege access with the audit trail health data demands.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: clinical friction, medical-device vendor access, trials with multiple CROs)|Third-Party · Legacy Apps · Privacy First · Compliance
vol3|/industries/manufacturing|Manufacturing|Zero Trust for Manufacturing / InstaSafe|The plant got connected. The access model didn't.|MANUFACTURING|OEM support tunnels, MES/ERP access, design IP, multi-site teams — one governed model where TeamViewer exceptions used to live.|Book a Demo|none|Regulatory strip;The sector's access problem;Honest scope:;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: is this an OT security product, OEM engineers abroad, air-gapped lines)|Third-Party · Legacy Apps · ZTNA · Endpoint Controls
vol3|/industries/government-psu|Government & PSU|Zero Trust for Government & PSUs / InstaSafe|Public systems. Public scrutiny. Provable control.|GOVERNMENT & PSU|Departmental applications, vendor ecosystems, and dispersed offices under an access model aligned to the standards governments themselves cite.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: deployment/residency options, scale limits, approval workflow at fleet scale)|Compliance · Third-Party · Device Binding · Privacy First
vol3|/industries/education|Education|Zero Trust for Education / InstaSafe|A third of your users are new every year. On their own devices.|EDUCATION|Student systems, research data, and administrative cores — governed access built for churn, BYOD-by-default, and small IT teams.|Book a Demo|none|Regulatory strip;The sector's access problem;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: 30,000 students rollout effort, minors' data, visiting researchers)|BYOD · Clientless · Third-Party · Pricing
vol3|/industries/energy-utilities|Energy & Utilities|Zero Trust for Energy & Utilities / InstaSafe|Critical infrastructure gets no second chances on access.|ENERGY & UTILITIES|Enterprise systems, plant-adjacent applications, and deep vendor ecosystems — governed, recorded, and dark to the internet.|Book a Demo|none|Regulatory strip;The sector's access problem;Honest scope (same discipline as Manufacturing):;Where InstaSafe lands;Three outcomes|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: OT boundary, remote sites with poor connectivity, deployment/residency)|Manufacturing · Third-Party · Device Binding · Government & PSU
vol4|/why-instasafe|Why InstaSafe|Why InstaSafe / Zero Trust Without the Vendor in Your Data Path|Security that doesn't route through the vendor.|WHY INSTASAFE|Most Zero Trust vendors inspect your traffic on their infrastructure. We architected ourselves out of your data path — and publish the numbers others keep vague.|Book a Demo|See the Architecture ↓|The four reasons (C29 slider, full copy);REASON 1 — PRIVACY FIRST, ARCHITECTURALLY;REASON 2 — DEPTH YOU CAN COUNT;REASON 3 — RECOGNISED, AND OLD ENOUGH TO TRUST;REASON 4 — BUILT FOR INDIA'S REGULATORY REALITY;Comparison matrix (B2 — category-label version until legal clears names);Values (kept short, from old site);Company timeline|C29 slider;B2|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: how InstaSafe differs from big-cloud SASE, from VPN vendors' "ZTNA" add-ons, company stability)|none (no explicit Related: line on this page)
vol4|/why-instasafe/privacy-first|Privacy First (deep-dive)|Privacy-First Architecture / Split-Plane Zero Trust / InstaSafe|Your traffic is none of our business. Architecturally.|PRIVACY FIRST|Not a policy promise. A design constraint: application data flows directly between your users and your apps — never through InstaSafe.|Book a Demo|Read the Architecture ↓|The problem with the standard model;The split-plane design (diagram section — reuse homepage split-plane visual);The signature table — what we can and cannot see;What this buys you (three outcomes)|none|none|none|0 (prose FAQ list, no literal Q: lines — 3 topics: how do you inspect for threats without seeing traffic, can this be audited, what about the logs you do hold)|none (no explicit Related: line on this page)
vol4|/compare|Comparison Hub|Compare InstaSafe / vs VPN, SASE, and Access Vendors|none|none|none|none|none|Hub intro:;Live pages:|none|none|none|0 (no FAQs block)|none
vol4|/customers|Customers|InstaSafe Customers / 500,000+ Endpoints, 5 Continents|500,000+ endpoints don't run on marketing.|CUSTOMERS|150+ enterprises. 100+ Fortune 2000 companies. Five continents. Here's what they say.|Book a Demo|none|Structure:|none|none|none|0 (no FAQs block)|none
vol4|/pricing|Pricing|InstaSafe Pricing / Per-User, No Hardware|PATH 1 — Pay per user. Add what you need.; PATH 2 — Three modules. Straight answers.|none|PATH 1 — Three modules. One number each. No hardware line-item, ever.; PATH 2 — Per-user pricing, no appliances, no hidden tiers — and a real quote within one business day, not a discovery-call gauntlet.|none (PATH 1); Get Your Quote (24h) (PATH 2)|none|PATH 1 — published pricing (if approved);PATH 2 — packaging-transparent (if pricing stays private);What's always in the platform (full list):;The TCO frame:;Procurement FAQs:|none|none|none|0 (Procurement FAQs is a prose list, no literal Q: lines — 4 topics: contract terms/annual billing, POC availability, partner/reseller purchase, what counts as a user)|none
vol4|/trust-center|Trust Center|Trust Center / InstaSafe|none|none|none|none|none|Sections:|none|none|none|0 (no FAQs block)|none
vol4|/about|About InstaSafe|About InstaSafe / Zero Trust Since 2012|Zero Trust before it was a buzzword. Honest numbers before it was a strategy.|ABOUT|Founded 2012. 500,000+ endpoints. Five continents. Still allergic to vague claims.|none|none|Story (three short paragraphs):;Values / Mission / Timeline:|none|none|none|0 (no FAQs block)|none
vol4|/partners|Partners|Partner with InstaSafe / Resellers, MSSPs, Alliances|Zero Trust is having its procurement decade. Sell it with us.|PARTNERS|Four partnership tracks, real enablement, and a product whose demo closes deals.|Become a Partner|none|Tracks:;Enablement:;Ecosystem on record:;Why partners win with InstaSafe:|none|none|none|0 (no FAQs block)|none
vol4|/book-a-demo|Book a Demo|Book a Demo / InstaSafe|See the console. Bring your hardest question.|none|Thirty minutes with an engineer, not a discovery-call script. Your use case, live policy, and the numbers on screen.|none|none|none (entire H1/Sub/WHAT-YOU'LL-SEE/Form-fields content sits in one unlabeled code block with no bolded sub-headers)|none|none|none|0 (no FAQs block)|none
vol4|/resources/what-is-zero-trust|PILLAR PAGE|What is Zero Trust? The Complete Guide / InstaSafe|none (page has no Hero block; opens directly with H2 prose headers)|none|none|none|none|What is Zero Trust?;The principles, concretely;The architecture: how it's actually built;ZTNA, ZTAA, SDP — sorting the acronyms;What Zero Trust is *not*;Starting, practically|none|none|none|0 (no formal FAQs block; page is long-form pillar prose)|none (no explicit Related: label; closing line links to Book a demo / What is ZTNA / What is MFA / What is SSO / Glossary)
vol4|/resources/what-is-* (ztna, sdp, mfa, sso, iam)|Education hub pages|none (umbrella section has no **SEO** line of its own)|none|none|none|none|none|/resources/what-is-ztna;/resources/what-is-sdp;/resources/what-is-mfa;/resources/what-is-sso;/resources/what-is-iam|none|none|none|0 (each sub-page lists 3 prose FAQ seeds, no literal Q: lines)|none
vol4|/resources/glossary|Zero Trust Glossary|Zero Trust & Access Security Glossary / InstaSafe|none|none|none|none|none|none (flat A–Z list of ~40 bolded glossary terms, not block-style sections)|none|none|none|0 (no FAQs block)|none
